status	exit	cia_model	path	prg	timeout	notes	x64sc
PASS	0	default	CIA/CIA-AcountsB	cia-b-counts-a.prg	100000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	CIA/CIA-AcountsB	cmp-b-counts-a-old.prg	100000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	1	CIA/CIA-AcountsB	cmp-b-counts-a-new.prg	100000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	default	CIA/CIA-AcountsB	cia-b-counts-a_ntsc.prg	100000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	CIA/CIA-AcountsB	cmp-b-counts-a-old_ntsc.prg	100000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	1	CIA/CIA-AcountsB	cmp-b-counts-a-new_ntsc.prg	100000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	CIA/cia-timer	cia-timer-oldcias.prg	200000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	1	CIA/cia-timer	cia-timer-newcias.prg	200000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	default	CIA/ciavarious	cia1.prg	10000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	default	CIA/ciavarious	cia2.prg	20000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	CIA/ciavarious	cia3.prg	10000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	CIA/ciavarious	cia3a.prg	10000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	CIA/ciavarious	cia4.prg	20000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	default	CIA/ciavarious	cia5.prg	20000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	default	CIA/ciavarious	cia6.prg	20000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	default	CIA/ciavarious	cia7.prg	10000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	CIA/ciavarious	cia8.prg	10000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	default	CIA/ciavarious	cia9.prg	10000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	default	CIA/ciavarious	cia10.prg	10000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	default	CIA/ciavarious	cia11.prg	10000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	default	CIA/ciavarious	cia12.prg	10000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	default	CIA/ciavarious	cia13.prg	10000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	default	CIA/ciavarious	cia14.prg	10000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	default	CIA/ciavarious	cia15.prg	160000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	1	CIA/ciavarious	cia3new.prg	10000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	1	CIA/ciavarious	cia3anew.prg	10000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	1	CIA/ciavarious	cia4new.prg	20000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	1	CIA/ciavarious	cia8new.prg	10000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	default	CIA/dd0drw	dd0drw.prg	6000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	CIA/dd0dtest	dd0dtest.prg	100000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	1	CIA/dd0dtest	dd0dtest.prg	100000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	default	CIA/mirrors	ciamirrors.prg	9000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	CIA/irqdelay	irqdelay.prg	7000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	1	CIA/irqdelay	irqdelay-new.prg	7000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	CIA/irqdelay	irqdelay-oneshot.prg	7000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	1	CIA/irqdelay	irqdelay-oneshot-new.prg	7000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	CIA/irqdelay	irqdelay2.prg	9000000		/Applications/vice-arm64-gtk3-3.10/bin/x64sc
