status	exit	cia_model	path	prg	timeout	notes	x64sc
TIMEOUT	1	0	general/Lorenz-2.15/src	cia1ta.prg	20000000	cia1ta old	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
TIMEOUT	1	0	general/Lorenz-2.15/src	cia1tb.prg	20000000	cia1tb old	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	general/Lorenz-2.15/src	cia1tab.prg	20000000	cia1tab old	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	general/Lorenz-2.15/src	cia1pb6.prg	20000000	cia1pb6 old	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	general/Lorenz-2.15/src	cia1pb7.prg	20000000	cia1pb7 old	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	general/Lorenz-2.15/src	cia1tb123.prg	20000000	cia1tb123 old	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
TIMEOUT	1	0	general/Lorenz-2.15/src	cia2ta.prg	20000000	cia2ta old	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
TIMEOUT	1	0	general/Lorenz-2.15/src	cia2tb.prg	20000000	cia2tb old	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	general/Lorenz-2.15/src	cia2pb6.prg	20000000	cia2pb6 old	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	general/Lorenz-2.15/src	cia2pb7.prg	20000000	cia2pb7 old	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	general/Lorenz-2.15/src	cia2tb123.prg	20000000	cia2tb123 old	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	general/Lorenz-2.15/src	icr01.prg	20000000	icr01 old	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	general/Lorenz-2.15/src	imr.prg	20000000	imr old	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	general/Lorenz-2.15/src	flipos.prg	20000000	flipos old	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	0	general/Lorenz-2.15/src	oneshot.prg	20000000	oneshot old	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
TIMEOUT	1	1	general/Lorenz-2.15/src	cia1tanew.prg	20000000	cia1ta new	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
TIMEOUT	1	1	general/Lorenz-2.15/src	cia1tbnew.prg	20000000	cia1tb new	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	1	general/Lorenz-2.15/src	cia1tabnew.prg	20000000	cia1tab new	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	1	general/Lorenz-2.15/src	cia1tb123.prg	20000000	cia1tb123 new	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
TIMEOUT	1	1	general/Lorenz-2.15/src	cia2tanew.prg	20000000	cia2ta new	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
TIMEOUT	1	1	general/Lorenz-2.15/src	cia2tbnew.prg	20000000	cia2tb new	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	1	general/Lorenz-2.15/src	cia2tb123.prg	20000000	cia2tb123 new	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	1	general/Lorenz-2.15/src	icr01new.prg	20000000	icr01 new	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	1	general/Lorenz-2.15/src	flipos.prg	20000000	flipos new	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
PASS	0	1	general/Lorenz-2.15/src	oneshot.prg	20000000	oneshot new	/Applications/vice-arm64-gtk3-3.10/bin/x64sc
