E000 EXP
E043 POLYX
E08D RMULC.DATA
E097 RND
E0F9 BIOERR
E10C BCHOUT
E112 BCHIN
E118 BCKOUT
E11E BCKIN
E124 BGETIN
E12A SYS
E156 SAVET
E165 VERFYT
E1BE OPENT
E1C7 CLOSET
E1D4 SLPARA
E200 COMBYT
E206 DEFLT
E20E CMMERR
E219 OCPARA
E264 COS
E26B SIN
E2B4 TAN
E2E0 PI2.DATA
E30E ATN
E33E ATNCON.DATA
E37B BASSFT
E394 INIT
E3A2 INITAT
E3BA RNDSED
E3BF INITCZ
E422 INITMS
E447 BVTRS.DATA
E453 INITV
E45F WORDS
E500 IOBASE
E505 SCREEN
E50A PLOT
E518 CINT1
E5B4 LP2
EA87 SCNKEY
ED09 TALK
EDB9 SECOND
EDC7 TKSA
EDDD CIOUT
EDEF UNTLK
EE13 ACPTR
F13E GETIN
F157 CHRIN
F1CA CHROUT
F20E CHKIN
F250 CHKOUT
F291 CLOSE
F32F CLALL
F333 CLRCHN
F34A OPEN
F49E LOAD
F5DD SAVE
F69B UDTIM
F6DD RDTIM
F6E4 SETTIM
F6ED STOP
FD15 RESTOR
FD1A VECTOR
FD50 RAMTAS
FDA3 IOINIT
FDF9 SETNAM
FE00 SETLFS
FE07 READST
FE18 SETMSG
FE21 SETTMO
FE25 MEMTOP
FE34 MEMBOT
FE58 CINT
FF81 CINT
FF84 IOINIT
FF87 RAMTAS
FF8A RESTOR
FF8D VECTOR
FF90 SETMSG
FF93 SECOND
FF96 TKSA
FF99 MEMTOP
FF9C MEMBOT
FF9F SCNKEY
FFA2 SETTMO
FFA5 ACPTR
FFA8 CIOUT
FFAB UNTLK
FFAE UNLSN
FFB1 LISTEN
FFB4 TALK
FFB7 READST
FFBA SETLFS
FFBD SETNAM
FFC0 OPEN
FFC3 CLOSE
FFC6 CHKIN
FFC9 CHKOUT
FFCC CLRCHN
FFCF CHRIN
FFD2 CHROUT
FFD5 LOAD
FFD8 SAVE
FFDB SETTIM
FFDE RDTIM
FFE1 STOP
FFE4 GETIN
FFE7 CLALL
FFEA UDTIM
FFED SCREEN
FFF0 PLOT
FFF3 IOBASE
